Name,Team,Level,GP,G,A,P
WilliamChan,SanJoseJrSharks,12A-2,26,4,9,13
LucaACombellas,SanJoseJrSharks,12A-2,30,0,3,3
ChaseBSaito,SanJoseJrSharks,12A-2,30,0,0,0
CodyJDamico,SanJoseJrSharks,12A-2,30,2,5,7
EverettYSong,SanJoseJrSharks,12A-2,29,4,5,9
BentleyHerrgott,SanJoseJrSharks,12A-2,30,2,3,5
AnthonyJTaormino,SanJoseJrSharks,12A-2,30,5,3,8
RichardYIshibashi,SanJoseJrSharks,12A-2,30,6,6,12
AndrewYVanTassell,SanJoseJrSharks,12A-2,30,1,6,7
SanayaJoshi,SanJoseJrSharks,12A-2,18,5,5,10
HarrisonTXavier,SanJoseJrSharks,12A-2,30,11,4,15
AmarieMLoof,SanJoseJrSharks,12A-2,25,13,2,15
LouisTMoreels,SanJoseJrSharks,12A-2,30,6,1,7
KyleZhuang,SanJoseJrSharks,12A-2,29,19,10,29
AmelieCPetkewich,SanJoseJrSharks,12A-2,26,3,4,7
HarlanOlsen,TriValleyBlueDevils,12A-1,16,0,9,9
EvanJKirk,VacavilleJets,12B,22,1,4,5
MaxwellBrouk,SanJoseJrSharks,12BB,32,8,12,20
JacobLCarlos,SanJoseJrSharks,12B,26,0,3,3
EllaKSawulski,SanJoseJrSharks,12A-2,22,4,1,5
RyanATran,SanJoseJrSharks,12A-2,28,1,3,4
EmersonWLau,SanFranciscoSabercats,12B,24,1,2,3
GibsonSGeddes,SanFranciscoSabercats,12B,21,3,6,9
NathanRFranklin,VacavilleJets,12B,23,3,8,11
JonKirk,VacavilleJets,12B,8,0,0,0
JacobDOmans,TriValleyBlueDevils,12BB,27,1,1,2
KyleFlynn,TriValleyBlueDevils,12BB,25,1,1,2
JesseLMartinezIii,TriValleyBlueDevils,12BB,28,15,13,28
AlyssaLChinn,SanJoseJrSharksGirls,12B,15,1,0,1
RexAOmana,OaklandBears,12B,20,9,6,15
NicholasYansouni,OaklandBears,12B,24,1,12,13
IsabellaBraddock,TriValleyLadyBlueDevils,12AAA,22,5,9,14
EmmaChen,TriValleyLadyBlueDevils,12AAA,22,17,7,24
NaomiSChou,TriValleyLadyBlueDevils,12AAA,21,0,3,3
AriaSFilson,TriValleyLadyBlueDevils,12AAA,9,4,11,15
MikaBHatol,TriValleyLadyBlueDevils,12AAA,12,13,8,21
EliseHoward,TriValleyLadyBlueDevils,12AAA,18,3,3,6
RebeccaXZhao,TriValleyLadyBlueDevils,12AAA,17,14,3,17
NoahJLech,SantaClaraBlackhawks,12BB,1,0,0,0
DamirDOyake,FresnoJrMonsters,12BB,7,0,0,0
IsabellaMWongGonzalez,TriValleyLadyBlueDevils,12AAA,14,8,10,18
GradyMPrice,TriValleyBlueDevils,12BB,26,0,0,0
GriffinJLandfair,OaklandBears,12B,22,8,12,20
ChrisLundgren,FresnoJrMonsters,12BB,2,0,0,0
KaiAllison,SanFranciscoSabercats,12B,22,3,2,5
RobertSBlackIII,SanJoseJrSharks,12B,23,0,1,1
KishanKalandoor,SanJoseJrSharks,12B,27,29,7,36
CameronJBoyle,SanJoseJrSharks,12B,25,11,3,14
LowenSSchwartz,SanJoseJrSharks,12BB,3,0,0,0
AngelinaCruzal,SanJoseJrSharks,12A-2,3,0,0,0
TimothyJWilchynski,SanJoseJrSharks,12BB,2,0,0,0
NathanLi,SanMateoBlackStars,12B,8,2,1,3
EmmaKEckland,SanJoseJrSharksGirls,12B,5,0,0,0
OliviaWall,CapitalThunder,12B,16,4,5,9
ReubenWHills,RenoIce,12A,18,0,0,0
JackCrivelli,StocktonColts,12A,1,0,0,0
IanMCraighead,SanJoseJrSharks,12BB,18,3,3,6
MiltonALazare,SanMateoBlackStars,12B,7,2,1,3
RaymondTang,CupertinoCougars,12BB,1,0,0,0
RasmusHolmbaeck,TriValleyBlueDevils,12A-1,2,0,0,0
TristanMLee,SantaClaraBlackhawks,12BB,1,0,0,0
