Name,Team,Level,GP,G,A,P
OtgonOdSPurevdavaa,OaklandBears,10B,32,7,13,20,0
BenjaminLFong,OaklandBears,10B,32,8,10,18,0
ColbyJWilliamson,OaklandBears,10B,30,7,15,22,0
WalterMKane,OaklandBears,10B,31,4,13,17,0
EricsonLRummel,SantaRosaFlyers,10B,21,11,2,13,0
NolanMBollinger,SantaRosaFlyers,10B,13,0,3,3,0
KeenanJSmit,SantaRosaFlyers,10B,22,17,8,25,0
ThomasJGagnebin,SantaRosaFlyers,10B,18,3,3,6,0
ErikBSombs,SantaRosaFlyers,10B,22,5,4,9,0
AddisonMHeinze,SantaRosaFlyers,10B,22,0,0,0,0
BenjaminSpring,SantaRosaFlyers,10B,21,2,0,2,0
GabrielMMccarthy,SantaRosaFlyers,10B,22,2,3,5,0
SheaMTamura,SantaRosaFlyers,10B,21,16,8,24,0
CaleKNewell,SantaRosaFlyers,10B,21,15,4,19,0
WilliamGTedeschi,SantaRosaFlyers,10B,1,0,0,0,21
WilliamDawsonPikey,SantaRosaFlyers,10B,20,1,3,4,0
DanielDWagner,SantaRosaFlyers,10B,18,2,3,5,0
NikolasSBrown,TriValleyBlueDevils,10BB,24,18,5,23,0
WilliamARau,TriValleyBlueDevils,10BB,25,8,10,18,0
JosiahCDelaVega,TriValleyBlueDevils,10BB,26,6,5,11,0
PadraicSDwyer,TriValleyBlueDevils,10BB,26,7,9,16,0
LachlanJSpaulding,TriValleyBlueDevils,10BB,22,12,6,18,0
JacobBFelker,TriValleyBlueDevils,10BB,20,0,2,2,0
LairdBSpaulding,TriValleyBlueDevils,10BB,23,3,4,7,0
BrandonNTam,TriValleyBlueDevils,10BB,26,13,8,21,0
NicholasVMendes,TriValleyBlueDevils,10BB,13,2,5,7,0
PranavNarra,TriValleyBlueDevils,10BB,26,15,9,24,0
HenryXWoodstock,TriValleyBlueDevils,10BB,24,13,11,24,0
MartinOlsson,TriValleyBlueDevils,10BB,24,1,8,9,0
JamesonBManville,VacavilleJets,10B,3,0,0,0,0
JadenPRatto,StocktonColts,10A,22,0,8,8,0
MatthewLBee,FresnoJrMonsters,10BB,26,3,2,5,0
CharlesEAmit-Guite,OaklandBears,10B,27,13,13,26,0
AeneasRAtienza-Washington,OaklandBears,10B,27,8,5,13,0
