Name,Team,Level,GP,G,A,P
ApolloRoosevelt,TriValleyBlueDevils,12BB,18,14,5,19
SunghyunCho,TriValleyBlueDevils,12A-1,1,0,0,0
SamuelGBarsky,CupertinoCougars,12BB,15,1,0,1
SamsonAFlores,CapitalThunder,12B,15,1,1,2
DustinJCaffey,TriValleyBlueDevils,12BB,12,2,0,2
TimothyScott,OaklandBears,12BB,4,0,0,0
LukeMacEdo,FresnoJrMonsters,12BB,11,1,0,1
CashEKopping,SanFranciscoSabercats,12B,16,2,3,5
EdwinNEgov,CapitalThunder,12A,14,28,6,34
ShaneVWeeck,TriValleyBlueDevils,12A-1,21,39,5,44
HugoKChun,OaklandBears,12BB,8,3,2,5
CaitlynCYuen,SanMateoBlackStars,12B,11,2,2,4
QingyunQiu,SantaClaraBlackhawks,12BB,18,12,7,19
TimothyKorostelev,TriValleyBlueDevils,12A-1,12,1,4,5
RonanPiovesan,SanMateoBlackStars,12B,1,0,0,0
RonanPiovesan,SanMateoBlackStars,12BB,2,0,0,0
NikolaiJVisneski,CupertinoCougars,12BB,1,0,0,0
AlexanderLamfalusi,CupertinoCougars,12BB,1,0,0,0
ElleCKinsella,CapitalThunder,12B,7,0,0,0
EastonGWilcox,RenoIce,12B,2,0,0,0
IsabelleLLose,RenoIce,12B,2,0,0,0
SabrinaIKozin,CapitalThunder,12B,2,0,1,1
OliverBrockman,SanMateoBlackStars,12B,6,0,0,0
JosieTanabe,CupertinoCougars,12BB,1,0,0,0
MiltonALazare,OaklandBears,12BB,1,0,0,0
